---,Category,SubCategory,Item,Recommendation_Text,Recommendation_Image,Recommendation_Sound,Recommendation_Haptic,Content_Image,Content_Sound,Reaction_Accept_Image,Reaction_Accept_Sound,Reaction_Accept_Haptic,Reaction_Decline_Image,Reaction_Decline_Sound,Reaction_Decline_Haptic
10101,"1","1","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""10101_Recommendation_Text"", ""I\'ve found a faster route that saves five minutes. Would you like to switch?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/010101/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/010501/right_paused.right_paused","/Game/MyContent/UI/DefaultContent/010501/10501.10501","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
10201,"1","2","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""10201_Recommendation_Text"", ""We\'re approaching your destination. Would you like me to find parking?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/010201/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/010201/Image.Image","/Game/MyContent/UI/DefaultContent/010201/Content_Sound.Content_Sound","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
10301,"1","3","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""10301_Recommendation_Text"", ""Traffic is moving more smoothly in the next lane. Would you like to change lanes when it\'s safe?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/010301/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/010301/Image.Image","/Game/MyContent/UI/DefaultContent/010301/Content_Sound.Content_Sound","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
10401,"1","4","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""10401_Recommendation_Text"", ""The lane next to you appears to be moving faster. Would you like to switch lanes now?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/010401/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/010401/Image.Image","/Game/MyContent/UI/DefaultContent/010401/Content_Sound.Content_Sound","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
10501,"1","5","1","NSLOCTEXT(""[D586949EAF918BDA2451F5DB32597A56]"", ""3FBC7AE24C1A7CA06936608E1ED3FF08"", ""Ben just sent you a message asking for a ride. Would you like me to add a stop to pick him up?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/010501/10501_Sound.10501_Sound","True","/Game/MyContent/UI/DefaultContent/010101/Image.Image","/Game/MyContent/UI/DefaultContent/010101/10101.10101","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
20101,"2","1","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""20101_Recommendation_Text"", ""Traffic is getting slower, so this might be a good time to relax. Would you like to listen to some music?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/020101/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/020101/Image.Image","/Game/MyContent/UI/DefaultContent/020101/Content_Sound.Content_Sound","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
20102,"2","1","2","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""1DEA3A6C4D2B4983FA75DFA818AA322D"", ""It\'s a nice day out there. Would you like some music?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/020102/020102_Sound.020102_Sound","True","/Game/MyContent/UI/DefaultContent/020101/Image.Image","/Game/MyContent/UI/DefaultContent/020102/Kendrick_Lamar___SZA_-_luther__sNY_2TEmzho_.Kendrick_Lamar___SZA_-_luther__sNY_2TEmzho_","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
20103,"2","1","3","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""1EA4E52F4B23691FB45A97964475BFD1"", ""The cabin has been quiet for a while. Would you like to start a playlist?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/020103/020103_Sound.020103_Sound","True","/Game/MyContent/UI/DefaultContent/020101/Image.Image","/Game/MyContent/UI/DefaultContent/020103/Shaboozey_-_A_Bar_Song__Tipsy___Official_Visualizer___t7bQwwqW-Hc_.Shaboozey_-_A_Bar_Song__Tipsy___Official_Visualizer___t7bQwwqW-Hc_","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
20104,"2","1","4","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""CDF64377411EE7930971498D742DC115"", ""I\'ve found a popular playlist that many are enjoying right now. Would you like to try what others are listening to?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/020104/020104_Sound.020104_Sound","True","/Game/MyContent/UI/DefaultContent/020101/Image.Image","/Game/MyContent/UI/DefaultContent/020104/Teddy_Swims_-_Lose_Control__The_Village_Sessions___9gWIIIr2Asw_.Teddy_Swims_-_Lose_Control__The_Village_Sessions___9gWIIIr2Asw_","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
20105,"2","1","1","NSLOCTEXT(""RecommendationTable [D586949EAF918BDA2451F5DB32597A56]"", ""7F954CD24A4C74014F9429989A7D523F"", ""There\'s a featured playlist available right now. Would you like me to play it?"")","/Game/MyContent/UI/DefaultContent/Calm/Image.Image","/Game/MyContent/UI/DefaultContent/020105/020105_Sound.020105_Sound","True","/Game/MyContent/UI/DefaultContent/020101/Image.Image","/Game/MyContent/UI/DefaultContent/020105/Billie_Eilish_-_BIRDS_OF_A_FEATHER__Official_Music_Video___V9PVRfjEBTI_.Billie_Eilish_-_BIRDS_OF_A_FEATHER__Official_Music_Video___V9PVRfjEBTI_","/Game/MyContent/UI/DefaultContent/Accept/Image.Image","/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound","True","/Game/MyContent/UI/DefaultContent/Decline/Image.Image","/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound","False"
