---,Category,SubCategory,Item,Recommendation_Text,Recommendation_Image,Recommendation_Sound,Recommendation_Haptic,Content_Image,Content_Sound,Reaction_Accept_Image,Reaction_Accept_Sound,Reaction_Accept_Haptic,Reaction_Decline_Image,Reaction_Decline_Sound,Reaction_Decline_Haptic,Participant_ID,Avatar_Gender,Voice_Gender,Haptic_Pref,Audio_File,Original_Recommendation_Text
30101,3,1,1,"This is a testing recommendation, please accept it.",/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/UI/DefaultContent/030101/30101.30101,True,/Game/MyContent/UI/DefaultContent/030101/Image.Image,None,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/UI/DefaultContent/030101/30101.30101,"This is a testing recommendation, please accept it."
30201,3,2,1,"This is a testing recommendation, please reject it.",/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/UI/DefaultContent/030201/30201.30201,True,/Game/MyContent/UI/DefaultContent/030101/Image.Image,None,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/UI/DefaultContent/030201/30201.30201,"This is a testing recommendation, please reject it."
30301,3,3,1,"This is a testing route recommendation, please accept it and turn right at the next crossing.",/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/UI/DefaultContent/030301/30301.30301,True,/Game/MyContent/UI/DefaultContent/030301/right_paused.right_paused,None,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/UI/DefaultContent/030301/30301.30301,"This is a testing route recommendation, please accept it and turn right at the next crossing."
10101,1,1,1,I've found a faster route that saves five minutes. Would you like to switch?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/10101.10101,True,/Game/MyContent/UI/DefaultContent/010501/right_paused.right_paused,/Game/MyContent/UI/DefaultContent/010501/10501.10501,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/10101.10101,I've found a faster route that saves five minutes. Would you like to switch?
10201,1,2,1,We're approaching your destination. Would you like me to find parking?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/10201.10201,True,/Game/MyContent/UI/DefaultContent/010201/Image.Image,/Game/MyContent/UI/DefaultContent/010201/Content_Sound.Content_Sound,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/10201.10201,We're approaching your destination. Would you like me to find parking?
10301,1,3,1,Traffic is moving more smoothly in the next lane. Would you like to change lanes when it's safe?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/10301.10301,True,/Game/MyContent/UI/DefaultContent/010301/Image.Image,/Game/MyContent/UI/DefaultContent/010301/Content_Sound.Content_Sound,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/10301.10301,Traffic is moving more smoothly in the next lane. Would you like to change lanes when it's safe?
10401,1,4,1,Traffic is moving more smoothly in the next lane. Would you like to change lanes when it's safe?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/10401.10401,True,/Game/MyContent/UI/DefaultContent/010301/Image.Image,/Game/MyContent/UI/DefaultContent/010301/Content_Sound.Content_Sound,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/10401.10401,Traffic is moving more smoothly in the next lane. Would you like to change lanes when it's safe?
10501,1,5,1,Ben just sent you a message asking for a ride. Would you like me to add a stop to pick him up?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/10501.10501,True,/Game/MyContent/UI/DefaultContent/010101/Image.Image,/Game/MyContent/UI/DefaultContent/010101/10101.10101,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/10501.10501,Ben just sent you a message asking for a ride. Would you like me to add a stop to pick him up?
20101,2,1,1,"Traffic is getting slower, so this might be a good time to relax. Would you like to listen to some music?",/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/20101.20101,True,/Game/MyContent/UI/DefaultContent/020101/Image.Image,/Game/MyContent/UI/DefaultContent/020101/Content_Sound.Content_Sound,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/20101.20101,"Traffic is getting slower, so this might be a good time to relax. Would you like to listen to some music?"
20201,2,2,1,There's a radio news and traffic update available right now. Would you like to listen to the radio?,/Game/MyContent/UI/DefaultContent/Calm/Image.Image,/Game/MyContent/Personified/20/20201.20201,True,/Game/MyContent/UI/DefaultContent/020201/Image.Image,/Game/MyContent/UI/DefaultContent/020201/news.news,/Game/MyContent/UI/DefaultContent/Accept/Image.Image,/Game/MyContent/UI/DefaultContent/Accept/Sound.Sound,True,/Game/MyContent/UI/DefaultContent/Decline/Image.Image,/Game/MyContent/UI/DefaultContent/Decline/Sound.Sound,False,20,neutral,neutral,yes,/Game/MyContent/Personified/20/20201.20201,There's a radio news and traffic update available right now. Would you like to listen to the radio?
