StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,I found the AI assistant useful during the driving simulation.,The AI assistant made appropriate recommendations in most situations.,The AI assistant was easy to interact with and understand.,I felt comfortable following the AI’s recommendations.,The AI assistant improved my overall driving experience.,I would like to use a similar AI assistant in a real vehicle in the future.,Additional Comments (optional),Participant ID,Date,Version
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}"
2026-03-14 13:00:36,2026-03-14 15:19:25,100,8329,TRUE,2026-03-14 15:19:26,anonymous,EN,5,5,6,4,5,5,,1,03/14/2026,Default
2026-03-15 10:39:13,2026-03-15 10:42:18,100,185,TRUE,2026-03-15 10:42:19,anonymous,EN,5,5,7,5,4,5,,2,03/15/2026,Default
2026-03-15 11:56:47,2026-03-15 13:49:44,100,6776,TRUE,2026-03-15 13:49:44,anonymous,EN,3,3,6,2,3,4,,3,03/15/2026,Default
2026-03-15 15:20:46,2026-03-15 15:25:51,100,305,TRUE,2026-03-15 15:25:52,anonymous,EN,4,7,7,6,4,2,,4,03/15/2026,Default
2026-03-15 15:40:55,2026-03-15 20:03:07,100,15731,TRUE,2026-03-15 20:03:07,anonymous,EN,6,5,7,7,6,7,,5,03/15/2026,Default
2026-03-16 12:19:11,2026-03-16 12:20:40,100,88,TRUE,2026-03-16 12:20:40,anonymous,EN,6,6,6,6,6,7,,7,03/16/2026,Default
2026-03-16 12:37:33,2026-03-16 16:25:50,100,13697,TRUE,2026-03-16 16:25:50,anonymous,EN,6,6,5,6,6,7,I wish the recommendations had more time for me to respond before disappearing,6,03/16/2026,Default
2026-03-18 14:01:27,2026-03-18 15:32:04,100,5437,TRUE,2026-03-18 15:32:04,anonymous,EN,7,6,6,4,6,7,,9,03/18/2026,Default
2026-03-19 09:54:16,2026-03-19 12:06:39,100,7942,TRUE,2026-03-19 12:06:39,anonymous,EN,7,7,7,7,7,7,I wish I have more time to respond as sometimes I cannot read the text from the screen. The recommendation expires too son after the audio is played. ,8,03/19/2026,Default
2026-03-20 06:58:11,2026-03-20 08:40:54,100,6162,TRUE,2026-03-20 08:40:54,anonymous,EN,4,5,6,5,4,4,i wish some of the recommendations were more scenario dependent,10,03/20/2026,Default
2026-03-20 12:50:44,2026-03-20 12:53:40,100,175,TRUE,2026-03-20 12:53:40,anonymous,EN,7,7,7,7,7,7,,12,03/20/2026,Default
2026-03-20 12:58:52,2026-03-20 14:49:04,100,6611,TRUE,2026-03-20 14:49:04,anonymous,EN,5,5,6,4,5,5,,11,03/20/2026,Default
2026-03-31 07:46:50,2026-03-31 07:48:26,100,95,TRUE,2026-03-31 07:48:26,anonymous,EN,3,3,4,3,3,4,,13,03/31/2026,Default
2026-03-31 07:56:50,2026-03-31 11:27:55,100,12665,TRUE,2026-03-31 11:27:55,anonymous,EN,5,6,7,7,5,1,,14,03/31/2026,Default
2026-03-31 11:41:15,2026-03-31 13:55:27,100,8051,TRUE,2026-03-31 13:55:27,anonymous,EN,5,6,6,6,5,6,,15,03/31/2026,Default
2026-04-01 07:52:49,2026-04-01 09:36:17,100,6207,TRUE,2026-04-01 09:36:17,anonymous,EN,7,4,7,5,7,6,change lane suggestions are the most useful ones,16,04/01/2026,Default
