StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q2.2,Q2.3,Q2.4,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q5.2,Q5.3,Q5.4,Q6.2,Q6.3,Q6.4,Q7.2,Q7.3,Q7.4,Q8.2,Q8.3,Q8.4,Q9.2,Q9.3,Q9.4,Q10.2,Q10.3,Q10.4,Q11.2,Q11.3,Q11.4
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Participant Number,Mode,Block,The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID1323258887""}","{""ImportId"":""QID1323258888""}","{""ImportId"":""QID1323258889""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}"
2026-03-15 09:04:47,2026-03-15 09:54:41,100,2994,TRUE,2026-03-15 09:54:41,qr,EN,2,2,4,4,3,4,7,2,7,5,3,4,6,2,5,4,3,6,4,3,4,5,3,6,7,2,7,2,3,2,5,2,5
2026-03-15 09:54:49,2026-03-15 10:20:12,100,1522,TRUE,2026-03-15 10:20:12,qr,EN,2,2,5,4,3,4,7,2,7,3,3,3,7,2,7,2,3,2,7,2,7,4,3,5,3,3,4,5,3,5,5,2,6
2026-03-15 10:20:48,2026-03-15 10:37:29,100,1001,TRUE,2026-03-15 10:37:30,qr,EN,2,2,6,5,2,6,7,2,7,5,2,6,5,3,4,5,2,5,7,2,7,3,3,3,7,2,7,3,3,4,7,2,7
2026-03-15 12:42:51,2026-03-15 13:02:44,100,1192,TRUE,2026-03-15 13:02:44,qr,EN,3,1,2,4,4,3,7,1,7,7,2,7,4,4,2,3,5,3,2,7,2,1,5,3,7,4,3,1,7,1,7,1,7
2026-03-15 13:02:45,2026-03-15 13:23:07,100,1222,TRUE,2026-03-15 13:23:08,qr,EN,3,1,3,5,2,6,5,1,6,5,2,6,6,2,3,7,7,3,2,3,3,7,2,7,7,1,7,1,3,3,4,1,5
2026-03-15 13:24:11,2026-03-15 13:46:56,100,1365,TRUE,2026-03-15 13:46:57,qr,EN,3,1,1,1,4,3,7,3,6,4,3,5,6,3,6,1,6,2,7,2,5,6,5,6,1,7,1,5,5,4,7,1,7
2026-03-15 14:07:22,2026-03-15 14:31:28,100,1445,TRUE,2026-03-15 14:31:28,qr,EN,4,2,4,3,6,3,7,2,7,7,2,7,6,3,7,4,4,4,6,5,4,2,7,2,4,4,4,1,6,2,7,1,7
2026-03-15 14:31:42,2026-03-15 14:57:23,100,1540,TRUE,2026-03-15 14:57:23,qr,EN,4,2,5,4,4,4,5,3,5,2,6,2,5,3,5,6,2,7,5,3,5,2,7,2,6,2,6,2,6,2,7,1,7
2026-03-15 14:57:32,2026-03-15 15:20:05,100,1353,TRUE,2026-03-15 15:20:05,qr,EN,4,2,6,2,6,2,6,2,6,1,7,1,7,1,7,1,7,1,7,1,7,6,2,6,4,4,4,4,4,4,7,1,7
2026-03-15 18:42:02,2026-03-15 19:09:40,100,1658,TRUE,2026-03-15 19:09:41,qr,EN,5,1,1,6,1,6,6,1,6,5,1,6,6,1,6,2,6,2,6,1,6,6,1,6,6,1,6,5,1,3,2,1,2
2026-03-15 19:10:06,2026-03-15 19:37:54,100,1667,TRUE,2026-03-15 19:37:54,qr,EN,5,1,2,2,5,4,6,2,6,2,6,3,7,2,7,5,1,5,7,2,6,2,4,5,5,2,5,4,2,5,1,5,2
2026-03-15 19:38:01,2026-03-15 19:59:44,100,1303,TRUE,2026-03-15 19:59:45,qr,EN,5,1,3,7,1,7,7,1,7,5,1,5,5,3,5,5,1,5,7,1,7,6,1,6,7,1,7,2,1,2,7,1,7
2026-03-16 11:04:28,2026-03-16 11:45:16,100,2448,TRUE,2026-03-16 11:45:16,qr,EN,7,1,1,6,2,6,7,2,7,7,2,7,7,3,7,5,2,5,4,2,4,6,2,6,4,2,4,6,2,6,7,1,7
2026-03-16 11:45:19,2026-03-16 12:04:24,100,1144,TRUE,2026-03-16 12:04:24,qr,EN,7,1,2,4,2,4,4,2,4,7,2,7,4,2,4,7,1,7,6,2,6,6,2,6,7,6,5,6,2,6,7,1,7
2026-03-16 12:04:49,2026-03-16 12:19:04,100,855,TRUE,2026-03-16 12:19:05,qr,EN,7,1,3,1,5,2,5,3,5,5,2,6,6,3,6,3,2,5,3,2,3,7,2,7,6,2,6,2,4,3,7,1,7
2026-03-16 12:52:13,2026-03-16 12:52:42,100,29,TRUE,2026-03-16 12:52:43,anonymous,EN,1,1,1,5,4,5,6,2,6,6,3,6,5,3,5,6,2,5,6,3,5,4,5,2,5,3,5,6,2,6,7,2,7
2026-03-16 12:53:59,2026-03-16 12:54:38,100,38,TRUE,2026-03-16 12:54:38,anonymous,EN,1,1,3,5,4,5,5,2,5,5,3,5,5,3,5,6,4,5,5,4,5,5,4,5,4,5,4,5,4,5,6,3,6
2026-03-16 14:48:15,2026-03-16 15:31:36,100,2601,TRUE,2026-03-16 15:31:37,qr,EN,6,2,4,5,2,5,7,1,7,5,1,5,7,2,7,5,2,4,7,1,7,6,1,7,1,6,2,3,6,3,3,5,5
2026-03-16 15:31:40,2026-03-16 15:55:09,100,1409,TRUE,2026-03-16 15:55:10,qr,EN,6,2,5,6,2,6,7,2,7,7,2,7,6,7,7,4,3,5,6,2,7,5,3,5,6,6,6,4,4,2,5,2,5
2026-03-16 15:56:20,2026-03-16 16:23:23,100,1623,TRUE,2026-03-16 16:23:23,qr,EN,6,2,6,4,4,3,6,2,6,3,4,4,6,2,7,7,2,7,7,2,5,6,2,5,7,2,2,1,3,1,2,5,1
2026-03-18 13:32:30,2026-03-18 13:57:27,100,1496,TRUE,2026-03-18 13:57:27,qr,EN,1,1,2,6,2,6,6,3,5,5,3,5,6,3,5,6,3,5,5,3,4,6,2,6,6,4,5,5,3,4,7,2,7
2026-03-18 14:21:15,2026-03-18 14:43:20,100,1325,TRUE,2026-03-18 14:43:20,qr,EN,9,1,1,5,1,4,6,3,5,7,1,7,7,1,7,4,4,4,2,6,3,7,1,7,6,2,6,5,2,4,7,5,1
2026-03-18 14:43:23,2026-03-18 15:06:05,100,1362,TRUE,2026-03-18 15:06:05,qr,EN,9,1,2,7,1,7,7,1,7,6,2,5,7,2,6,7,1,7,7,1,7,6,2,6,5,2,6,7,1,7,7,1,7
2026-03-18 15:09:18,2026-03-18 15:28:33,100,1155,TRUE,2026-03-18 15:28:34,qr,EN,9,1,3,4,2,4,7,3,6,6,1,7,5,1,5,7,1,7,7,1,7,6,1,6,7,1,7,6,1,6,7,1,7
2026-03-19 10:16:04,2026-03-19 10:58:02,100,2517,TRUE,2026-03-19 10:58:02,qr,EN,8,2,4,6,1,7,7,1,7,7,2,7,5,1,5,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7
2026-03-19 11:22:38,2026-03-19 11:47:08,100,1470,TRUE,2026-03-19 11:47:09,qr,EN,8,2,5,3,4,3,7,1,7,2,6,2,7,1,7,1,6,1,7,1,7,3,5,3,3,6,3,4,6,3,7,1,7
