---,PatternID,OrderIndex,Category,Subcategory,bDelay
A_1,"A","1","2","1","False"
A_2,"A","2","1","1","True"
A_3,"A","3","2","5","True"
A_4,"A","4","1","5","False"
A_5,"A","5","2","2","False"
A_6,"A","6","1","3","False"
A_7,"A","7","2","3","False"
A_8,"A","8","1","4","True"
A_9,"A","9","2","4","False"
A_10,"A","10","1","2","False"
B_1,"B","1","2","2","False"
B_2,"B","2","1","3","False"
B_3,"B","3","2","4","True"
B_4,"B","4","1","4","False"
B_5,"B","5","2","5","False"
B_6,"B","6","1","5","False"
B_7,"B","7","2","1","False"
B_8,"B","8","1","1","False"
B_9,"B","9","2","3","True"
B_10,"B","10","1","2","False"
C_1,"C","1","2","4","True"
C_2,"C","2","1","4","False"
C_3,"C","3","2","1","False"
C_4,"C","4","1","1","False"
C_5,"C","5","2","3","True"
C_6,"C","6","1","3","False"
C_7,"C","7","2","5","False"
C_8,"C","8","1","5","False"
C_9,"C","9","2","2","False"
C_10,"C","10","1","2","False"
Traing_1,"Training","1","3","1","False"
Traing_2,"Training","2","3","2","False"
Traing_3,"Training","3","3","3","False"
Traing_4,"Training","4","3","1","False"
Traing_5,"Training","5","3","2","False"
Traing_6,"Training","6","3","1","False"
Traing_7,"Training","7","3","2","False"
Traing_8,"Training","8","3","1","False"
Traing_9,"Training","9","3","2","False"
Traing_10,"Training","10","3","1","False"
Traing_11,"Training","11","3","2","False"
Traing_12,"Training","12","3","1","False"
Traing_13,"Training","13","3","2","False"
Traing_14,"Training","14","3","1","False"
Traing_15,"Training","15","3","2","False"
Traing_16,"Training","16","3","1","False"
Traing_17,"Training","17","3","2","False"
Traing_18,"Training","18","3","1","False"
Traing_19,"Training","19","3","2","False"
