StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q3,Q4
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,NASA Task Load Index - How mentally demanding was the task?,NASA Task Load Index - How physically demanding was the task?,NASA Task Load Index - How hurried or rushed was the pace of the task?,NASA Task Load Index - How successful were you in accomplishing what you were asked to do?,NASA Task Load Index - How hard did you have to work to accomplish your level of performance?,"NASA Task Load Index - How insecure, discouraged, irritated, stressed, and annoyed wereyou?",Participant ID,Date,Version
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}"
2026-03-14 13:18:00,2026-03-14 15:22:52,100,7492,TRUE,2026-03-14 15:22:53,anonymous,EN,13,9,16,19,13,11,1,03/14/2026,Default
2026-03-15 10:39:43,2026-03-15 10:43:12,100,209,TRUE,2026-03-15 10:43:12,anonymous,EN,8,5,5,18,5,2,2,03/15/2026,Default
2026-03-15 11:56:48,2026-03-15 13:51:41,100,6892,TRUE,2026-03-15 13:51:41,anonymous,EN,15,4,11,11,16,13,3,03/15/2026,Default
2026-03-15 15:20:47,2026-03-15 15:27:02,100,375,TRUE,2026-03-15 15:27:03,anonymous,EN,2,1,1,21,1,1,4,03/15/2026,Default
2026-03-15 15:40:57,2026-03-15 20:04:23,100,15806,TRUE,2026-03-15 20:04:24,anonymous,EN,4,3,4,18,4,2,5,03/15/2026,Default
2026-03-16 11:05:45,2026-03-16 12:24:48,100,4743,TRUE,2026-03-16 12:24:48,anonymous,EN,17,17,15,21,11,5,7,03/16/2026,Default
2026-03-16 12:37:29,2026-03-16 16:28:55,100,13886,TRUE,2026-03-16 16:28:56,anonymous,EN,15,4,21,17,10,4,6,03/16/2026,Default
2026-03-18 14:00:46,2026-03-18 15:30:10,100,5363,TRUE,2026-03-18 15:30:10,anonymous,EN,5,15,4,16,5,4,9,03/18/2026,Default
2026-03-19 09:54:42,2026-03-19 12:09:09,100,8067,TRUE,2026-03-19 12:09:10,anonymous,EN,11,3,16,16,11,8,8,03/19/2026,Default
2026-03-20 06:55:45,2026-03-20 08:42:04,100,6378,TRUE,2026-03-20 08:42:05,anonymous,EN,5,7,16,15,5,10,10,03/20/2026,Default
2026-03-20 12:50:47,2026-03-20 12:53:03,100,136,TRUE,2026-03-20 12:53:03,anonymous,EN,1,1,11,19,2,1,12,03/20/2026,Default
2026-03-20 12:58:54,2026-03-20 14:51:19,100,6745,TRUE,2026-03-20 14:51:19,anonymous,EN,8,12,8,13,10,4,11,03/20/2026,Default
2026-03-31 07:46:55,2026-03-31 07:52:14,100,319,TRUE,2026-03-31 07:52:15,anonymous,EN,13,9,7,19,5,2,13,03/31/2026,Default
2026-03-31 07:56:54,2026-03-31 11:29:50,100,12776,TRUE,2026-03-31 11:29:51,anonymous,EN,1,1,1,21,1,10,14,03/31/2026,Default
2026-03-31 11:41:18,2026-03-31 13:54:56,100,8017,TRUE,2026-03-31 13:54:56,anonymous,EN,14,15,11,18,10,4,15,03/31/2026,Default
2026-04-01 07:52:49,2026-04-01 09:41:00,100,6490,TRUE,2026-04-01 09:41:01,anonymous,EN,7,2,6,21,2,14,16,04/01/2026,Default
2026-04-01 09:52:14,2026-04-01 11:26:16,100,5641,TRUE,2026-04-01 11:26:16,anonymous,EN,7,4,7,15,11,11,17,04/01/2026,Default
2026-04-01 15:54:33,2026-04-01 17:31:27,100,5814,TRUE,2026-04-01 17:31:28,anonymous,EN,3,1,21,17,3,3,18,04/01/2026,Default
2026-04-02 08:01:14,2026-04-02 09:45:39,100,6265,TRUE,2026-04-02 09:45:39,anonymous,EN,6,4,5,19,5,4,19,04/02/2026,Default
2026-04-02 09:55:20,2026-04-03 10:47:42,100,89541,TRUE,2026-04-03 10:47:42,anonymous,EN,1,1,2,21,1,1,20,04/03/2026,Default
2026-04-03 11:47:57,2026-04-03 15:29:28,100,13290,TRUE,2026-04-03 15:29:28,anonymous,EN,2,1,2,20,1,3,21,04/03/2026,Default
2026-04-03 15:36:47,2026-04-03 18:13:18,100,9391,TRUE,2026-04-03 18:13:18,anonymous,EN,7,5,11,21,3,14,22,04/03/2026,Default
2026-04-04 16:00:33,2026-04-04 17:35:32,100,5699,TRUE,2026-04-04 17:35:32,anonymous,EN,8,5,5,17,3,5,23,04/04/2026,Default
2026-04-08 14:04:50,2026-04-08 14:06:24,100,93,TRUE,2026-04-08 14:06:24,anonymous,EN,2,2,2,20,3,4,24,04/08/2026,Default
2026-04-09 16:29:34,2026-04-09 16:34:00,100,266,TRUE,2026-04-09 16:34:00,anonymous,EN,2,2,14,21,1,7,26,04/09/2026,Default
