unixtimestamp_ms,n_frame,gametime_ms,position_x,position_y,position_z,rotation_roll,rotation_pitch,rotation_yaw,mesh_velocity_x,mesh_velocity_y,mesh_velocity_z,acc_x,acc_y,acc_z,forward_x,forward_y,forward_z,forward_speed,throttle_input,brake_input,handbrake_input
1775051373523,0,415,-520.000000,-17500.000000,159.750519,0.000000,0.000000,90.000000,0.000000,0.000000,-15.634972,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.000,0.000
1775051373603,1,546,-520.000000,-17500.000000,158.141001,0.000000,0.000000,90.000000,0.000000,0.000000,-48.285538,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373727,2,665,-520.000000,-17500.000000,155.443493,0.000000,0.000000,90.000000,0.000000,0.000000,-80.925224,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373750,3,695,-520.000000,-17500.000000,151.658359,0.000000,0.000000,90.000000,0.000000,0.000000,-113.554031,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373772,4,720,-520.000000,-17500.000000,147.483999,0.000000,0.000000,90.000000,0.000000,0.000000,-142.267136,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373792,5,739,-520.000000,-17500.000000,143.182696,0.000000,0.000000,90.000000,0.000000,0.000000,-167.404327,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373811,6,758,-520.000000,-17500.000000,139.681836,0.000000,0.000000,90.000000,0.000000,0.000000,-185.831436,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373831,7,778,-520.000000,-17500.000000,135.817099,0.000000,0.000000,90.000000,0.000000,0.000000,-204.328796,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373851,8,798,-520.000000,-17500.000000,131.405853,0.000000,0.000000,90.000000,0.000000,0.000000,-223.616943,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
1775051373871,9,817,-520.000000,-17500.000000,126.566701,0.000000,0.000000,90.000000,0.000000,0.000000,-243.078186,0.000000,0.000000,0.000000,-0.000000,1.000000,0.000000,0.000000,0.000,0.000,0.001,0.000
