unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1774030226454,49892,1,5,1,20103,teleport
1774030271003,94438,1,5,1,20103,teleport
1774030287664,111150,1,5,1,20103,trigger
1774030293310,116809,1,5,1,20103,reaction_accept
1774030329655,138547,1,5,2,10101,teleport
1774030373807,182692,1,5,2,10101,teleport
1774030383535,192479,1,5,2,10101,trigger
1774030388329,197278,1,5,2,10101,reaction_accept
1774030426738,223384,1,5,3,20501,teleport
1774030458396,255046,1,5,3,20501,teleport
1774030467233,263942,1,5,3,20501,trigger
1774030472688,269401,1,5,3,20501,reaction_accept
1774030502233,283708,1,5,4,10501,teleport
1774030546021,327493,1,5,4,10501,teleport
1774030554709,336239,1,5,4,10501,trigger
1774030561901,343437,1,5,4,10501,reaction_accept
1774030617323,369882,1,5,5,20201,teleport
1774030650000,402557,1,5,5,20201,teleport
1774030666650,419268,1,5,5,20201,trigger
1774030673271,425894,1,5,5,20201,reaction_accept
1774030700975,431229,1,5,6,10301,teleport
1774030743971,474229,1,5,6,10301,teleport
1774030756032,486341,1,5,6,10301,trigger
1774030760412,490726,1,5,6,10301,reaction_accept
1774030791763,514633,1,5,7,20301,teleport
1774030834826,557696,1,5,7,20301,teleport
1774030860540,583466,1,5,7,20301,trigger
1774030867294,590226,1,5,7,20301,reaction_reject
1774030897940,602968,1,5,8,10401,teleport
1774030941400,646423,1,5,8,10401,teleport
1774030953227,658307,1,5,8,10401,trigger
1774030957775,662860,1,5,8,10401,reaction_accept
1774031002152,686342,1,5,9,20401,teleport
1774031045039,729223,1,5,9,20401,teleport
1774031065971,750218,1,5,9,20401,trigger
1774031072555,756807,1,5,9,20401,reaction_accept
1774031110677,772935,1,5,10,10201,teleport
1774031188001,850261,1,5,10,10201,teleport
1774031199889,862204,1,5,10,10201,trigger
1774031202698,865019,1,5,10,10201,reaction_accept
