StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q44,Q2.2,Q2.3,Q2.4,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q5.2,Q5.3,Q5.4,Q6.2,Q6.3,Q6.4,Q7.2,Q7.3,Q7.4,Q8.2,Q8.3,Q8.4,Q9.2,Q9.3,Q9.4,Q10.2,Q10.3,Q10.4,Q11.2,Q11.3,Q11.4
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Participant Number,Mode,Block,Personalized vs. Personified,The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation.",The AI’s recommendation was appropriate for the driving situation.,The AI's recommendation was disturbing for driving.,"Overall, I was satisfied with this recommendation."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID60""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID1323258887""}","{""ImportId"":""QID1323258888""}","{""ImportId"":""QID1323258889""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}"
2026-04-08 08:11:55,2026-04-08 08:35:51,100,1435,TRUE,2026-04-08 08:35:51,qr,EN,5,1,2,Personalized,6,1,6,6,1,6,7,1,7,7,1,7,5,2,5,7,1,7,2,3,2,2,2,3,6,2,6,4,1,4
2026-04-08 08:39:50,2026-04-08 09:28:01,100,2890,TRUE,2026-04-08 09:28:02,qr,EN,5,1,2,Personified,5,1,6,7,1,7,6,1,6,7,1,7,5,1,5,7,1,5,4,1,4,4,1,4,5,1,5,6,1,6
2026-04-10 14:49:38,2026-04-10 15:14:44,100,1506,TRUE,2026-04-10 15:14:45,qr,EN,7,1,3,Personalized,7,3,6,4,3,3,7,1,7,6,3,7,5,2,5,5,2,5,7,2,7,6,2,6,7,2,7,7,2,7
2026-04-10 15:15:06,2026-04-10 15:45:10,100,1803,TRUE,2026-04-10 15:45:11,qr,EN,7,1,3,Personified,6,2,6,5,2,5,6,3,5,5,2,6,6,4,7,4,2,4,7,2,7,6,2,6,6,3,6,7,2,7
2026-04-10 16:09:40,2026-04-10 16:25:51,100,970,TRUE,2026-04-10 16:25:51,qr,EN,8,2,5,Personified,5,2,5,7,1,7,7,1,7,7,1,7,4,5,4,7,1,7,6,3,6,3,6,3,4,2,2,7,1,7
2026-04-10 16:30:20,2026-04-10 17:21:07,100,3047,TRUE,2026-04-10 17:21:07,qr,EN,8,2,5,Personalized,6,2,6,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,1,5,1,7,2,7,7,1,7
2026-04-11 11:27:15,2026-04-11 11:51:17,100,1441,TRUE,2026-04-11 11:51:18,qr,EN,16,2,6,Personified,2,4,3,7,1,7,7,1,7,7,1,7,5,2,4,7,1,7,1,2,2,1,6,1,4,4,4,7,1,7
2026-04-11 12:04:11,2026-04-11 12:27:14,100,1382,TRUE,2026-04-11 12:27:14,qr,EN,16,2,6,Personalized,7,2,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,5,3,4,7,3,6,7,1,7,7,1,7
