StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q11,Q14,Q13,Q12,Q9,Q10,Q15
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.,Participant ID,Date,Personalized vs. Personified
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID15""}"
2026-04-08 08:35:53,2026-04-08 08:38:25,100,151,True,2026-04-08 08:38:25,anonymous,EN,5,1,5,1,5,1,5,1,5,1,5,04/08/2026,Personalized
2026-04-08 08:39:50,2026-04-08 09:29:50,100,3000,True,2026-04-08 09:29:50,anonymous,EN,5,1,5,1,5,1,5,1,5,1,5,04/08/2026,Personified
2026-04-10 15:19:20,2026-04-10 15:22:28,100,187,True,2026-04-10 15:22:28,anonymous,EN,5,3,5,1,4,3,4,2,5,1,7,04/10/2026,Personalized
2026-04-10 15:24:26,2026-04-10 15:47:33,100,1386,True,2026-04-10 15:47:33,anonymous,EN,5,3,5,1,4,3,5,4,5,1,7,04/10/2026,Personified
2026-04-10 15:49:12,2026-04-10 16:30:02,100,2449,True,2026-04-10 16:30:02,anonymous,EN,5,1,5,1,4,1,5,1,5,1,8,04/10/2026,Personified
2026-04-10 17:21:25,2026-04-10 17:24:22,100,176,True,2026-04-10 17:24:23,anonymous,EN,5,1,5,1,5,1,5,1,5,1,8,04/10/2026,Personalized
2026-04-11 11:51:57,2026-04-11 11:54:06,100,128,True,2026-04-11 11:54:06,anonymous,EN,4,1,5,1,4,4,5,3,4,1,16,04/11/2026,Personified
2026-04-11 11:55:11,2026-04-11 12:29:19,100,2048,True,2026-04-11 12:29:19,anonymous,EN,5,1,5,1,5,1,5,3,5,1,16,04/11/2026,Personalized
2026-04-12 08:32:37,2026-04-12 08:38:20,100,342,True,2026-04-12 08:38:20,anonymous,EN,4,1,5,1,4,1,5,1,4,1,19,04/12/2026,Personalized
2026-04-12 08:58:52,2026-04-12 09:01:06,100,134,True,2026-04-12 09:01:07,anonymous,EN,4,2,5,1,4,2,5,1,5,1,19,04/12/2026,Personified
2026-04-12 11:33:18,2026-04-12 12:00:26,100,1627,True,2026-04-12 12:00:26,anonymous,EN,4,1,5,1,4,1,5,1,5,1,11,04/12/2026,Personalized
2026-04-12 12:22:52,2026-04-12 12:28:40,100,347,True,2026-04-12 12:28:40,anonymous,EN,5,1,5,1,5,1,5,1,5,1,11,04/12/2026,Personified
2026-04-13 15:35:59,2026-04-13 15:38:42,100,163,True,2026-04-13 15:38:43,anonymous,EN,4,2,4,1,4,2,3,3,3,3,3,04/13/2026,Personalized
2026-04-13 16:02:04,2026-04-13 16:04:52,100,167,True,2026-04-13 16:04:52,anonymous,EN,4,2,4,1,3,2,4,4,5,3,3,04/13/2026,Personified
2026-04-14 08:34:24,2026-04-14 08:36:40,100,135,True,2026-04-14 08:36:40,anonymous,EN,5,1,5,2,5,1,5,1,5,1,20,04/14/2026,Personified
2026-04-14 09:05:39,2026-04-14 09:08:14,100,155,True,2026-04-14 09:08:15,anonymous,EN,4,1,5,1,5,1,5,1,5,1,20,04/14/2026,Personalized
2026-04-15 15:24:28,2026-04-15 15:30:58,100,389,True,2026-04-15 15:30:59,anonymous,EN,4,2,5,1,5,2,5,1,5,1,22,04/15/2026,Personified
2026-04-15 15:58:09,2026-04-15 16:02:17,100,247,True,2026-04-15 16:02:17,anonymous,EN,4,2,5,1,4,2,5,2,5,2,22,04/15/2026,Personalized
2026-04-15 17:31:06,2026-04-15 17:33:09,100,123,True,2026-04-15 17:33:10,anonymous,EN,4,1,4,1,3,1,4,1,5,1,9,04/15/2026,Personalized
2026-04-15 17:34:36,2026-04-15 17:53:10,100,1114,True,2026-04-15 17:53:11,anonymous,EN,5,1,5,1,3,2,5,1,5,1,9,04/15/2026,Personified
2026-04-16 12:56:13,2026-04-16 13:00:00,100,226,True,2026-04-16 13:00:00,anonymous,EN,4,2,5,1,5,1,5,3,5,1,4,04/16/2026,Personified
2026-04-16 13:24:58,2026-04-16 13:27:13,100,135,True,2026-04-16 13:27:14,anonymous,EN,4,1,5,1,5,1,5,3,5,1,4,04/16/2026,Personalized
2026-04-16 14:48:39,2026-04-16 15:28:48,100,2409,True,2026-04-16 15:28:48,anonymous,EN,5,1,5,1,5,2,4,2,3,2,24,04/16/2026,Personified
2026-04-16 15:30:28,2026-04-16 15:52:53,100,1345,True,2026-04-16 15:52:53,anonymous,EN,5,2,4,2,4,2,4,2,5,2,24,04/16/2026,Personalized
