unixtimestamp_ms,gametime_ms,scene_id, block_id, trial_id,current_encode_id,marker
1776375144182,58849,3,4,1,20401,teleport
1776375225862,140542,3,4,1,20401,teleport
1776375247467,162420,3,4,1,20401,trigger
1776375255086,170053,3,4,1,20401,reaction_reject
1776375330922,224609,3,4,2,10401,teleport
1776375342669,236595,3,4,2,10401,trigger
1776375347602,241541,3,4,2,10401,reaction_accept
1776375457837,344028,3,4,3,20101,teleport
1776375477871,364277,3,4,3,20101,trigger
1776375482023,368435,3,4,3,20101,reaction_accept
1776375521434,394914,3,4,4,10101,teleport
1776375533535,407304,3,4,4,10101,trigger
1776375539627,413413,3,4,4,10101,reaction_accept
1776375611568,476971,3,4,5,20301,teleport
1776375712333,577758,3,4,5,20301,teleport
1776375752525,618199,3,4,5,20301,trigger
1776375760799,626471,3,4,5,20301,reaction_accept
1776375822529,675098,3,4,6,10301,teleport
1776375831832,684631,3,4,6,10301,trigger
1776375834432,687246,3,4,6,10301,reaction_accept
1776375902858,747367,3,4,7,20501,teleport
1776375911874,756648,3,4,7,20501,trigger
1776375915517,760296,3,4,7,20501,reaction_accept
1776375996418,833348,3,4,8,10501,teleport
1776376008139,845332,3,4,8,10501,trigger
1776376013897,851085,3,4,8,10501,reaction_accept
1776376160928,955962,3,4,9,20201,teleport
1776376178237,973523,3,4,9,20201,trigger
1776376183206,978497,3,4,9,20201,reaction_accept
1776376291429,1071298,3,4,10,10201,teleport
1776376301617,1081740,3,4,10,10201,trigger
1776376305738,1085879,3,4,10,10201,reaction_accept
