repeat,fold,model,p_bias,beta_c,beta_i,beta_ci,gamma_throttle,gamma_density,gamma_time,gamma_mode,kappa,lam,a,gain,theta_dyn,sigma,theta_readout,dt,T,density_lam_gain,density_sigma_gain,time_gain_multiplier,auto_lam_multiplier,auto_sigma_multiplier,b_use_stim_on
1,1,nonlinear_sigmoid,0.44,0.4206540388039556,0.2680783238896478,0.2684116553909996,0.0,0.30269127599299095,0.6834332062324278,0.104351170808389,1.8232127911053218,1.0,3.0515971918520486,1.668898746873647,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
1,2,nonlinear_sigmoid,0.44,0.3855701007692679,0.39487236348883203,0.024557352189816518,0.0,0.267904056001521,0.39339877896136566,0.12959503354815452,1.4575974312257676,1.0,3.3672594466127137,1.4596760085081366,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
1,3,nonlinear_sigmoid,0.44,0.6006305565881277,0.13430046337424428,0.26111039837479605,0.0,0.20939012820920067,0.8806863133269583,0.20441103502921845,1.5430880669072957,1.0,2.926539532736047,1.6593305225796016,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
1,4,nonlinear_sigmoid,0.44,0.4070605089746764,0.11741513053599079,0.29073094386455334,0.0,0.29674095509529297,0.40332275235525283,0.03574565661249117,1.783833240152816,1.0,2.926580581138696,2.54746253982227,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
1,5,nonlinear_sigmoid,0.44,0.5051245215714305,0.2781513467792375,0.25808382040483774,0.0,0.578647877095874,0.36230953831205515,0.1825151531632331,2.6758272207862426,1.0,1.737534805446995,2.9213337735650695,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
2,1,nonlinear_sigmoid,0.44,0.6211351529839725,0.015113883731761368,0.10964342321558618,0.0,0.16274154880355152,0.33820245413447847,0.19172188351606428,1.2960743624323847,1.0,1.8071272079472083,2.4828578603347773,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
2,2,nonlinear_sigmoid,0.44,0.5853177142514234,0.025665667766506417,0.24229770677441653,0.0,0.059847045269875276,0.6851091090160082,0.2525531505909006,1.064293984677481,1.0,2.8351162434102255,2.8248783230454357,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
2,3,nonlinear_sigmoid,0.44,0.10739107631909894,0.11572245537604586,0.1716733741711587,0.0,0.25838447493696315,0.7175365676414278,0.2692197140509227,1.4881091604520913,1.0,1.5881623261433861,3.4382798426139867,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
2,4,nonlinear_sigmoid,0.44,0.9179203771379455,0.02332899056922083,0.16552911417377272,0.0,0.5818918924695857,0.7901088062788181,0.271843486498794,2.4328898965548076,1.0,2.124245805615622,3.1280716991915076,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
2,5,nonlinear_sigmoid,0.44,0.8143767795052836,0.1832335973997224,0.26889851239418605,0.0,0.15963381316114622,0.7388677223677906,0.2557143548615181,2.755007721708209,1.0,1.3870945221798832,1.5020665225106837,0.0,0.05,0.44,0.01,5.0,0.0,0.0,1.0,1.0,1.0,True
