repeat,fold,auto_pressure_reduction,density_pressure_gain,time_pressure_gain,alpha_coherence,alpha_intensity,alpha_ci,beta_pressure,beta_density,beta_time_pressure,k_init,lam_x,lam_y,w_xy,w_yx,gain_x,gain_y,sigma_x,sigma_y,T,decision_threshold,symmetric_gate
1,1,0.3132569481074021,0.0,0.0,0.7497658192445273,0.3842773043891826,0.2711371095769298,0.0,0.4442048445554156,0.5659698497839518,1.750735758990085,1.0118523290465191,0.8441734333365946,0.0878664248768729,0.7046068393387892,2.818868338990267,2.658188742079325,0.04,0.02,5.0,0.44,False
1,2,0.4425475226207612,0.0,0.0,0.6795299936675159,0.09543964109440095,0.09930038302955449,0.0,0.1831037390409916,0.41706499093955485,1.742182557238482,0.6451158556967755,0.7266779953321921,0.07846596531769667,0.37436241019026345,2.6597864956010526,1.6558597776413433,0.04,0.02,5.0,0.44,False
1,3,0.28689835978678213,0.0,0.0,0.6984611302487387,0.10866221473067511,0.19074893685416258,0.0,0.11473826465832354,0.9638694808279834,1.3175138106080908,0.6214721681917114,0.7477969832217617,0.49990746021159604,1.721224538811963,1.308437985666107,1.7909485527051108,0.04,0.02,5.0,0.44,False
1,4,0.1658045795408855,0.0,0.0,0.7062159793000696,0.01722972378517229,0.24536322947950243,0.0,0.10277486990861567,0.4956729798796212,2.5815875049721155,1.4642469912003275,0.8376809922860091,0.05725761053404971,0.5042377266094417,3.0199030578380683,2.8047636447090136,0.04,0.02,5.0,0.44,False
1,5,0.19847222518407898,0.0,0.0,0.8070004702991217,0.310801781296364,0.16366383914250196,0.0,0.0596762939592525,0.3801644934147733,2.4729751826444932,1.2866854484654788,0.8261229634425248,2.347057324118182,0.5125831587754492,1.3402738110497492,1.894574003605363,0.04,0.02,5.0,0.44,False
2,1,0.47279660221962655,0.0,0.0,0.6116668494207295,0.09305631412071574,0.20832086687177784,0.0,0.23259638862636656,0.70517891313865,1.6517658397536705,0.6482828215704677,0.8497758045631517,0.59509219630446,1.0935436591959258,1.7421664505030972,1.8430204178656782,0.04,0.02,5.0,0.44,False
2,2,0.26702548793909475,0.0,0.0,0.9518500039966252,0.1346568227443673,0.1285886738296134,0.0,0.37327953840846106,0.9278816667966797,2.5552679216770526,0.5572048511479301,1.3163579040711673,1.603023889873236,2.3608382767485656,1.7363490921792046,2.4631666873016136,0.04,0.02,5.0,0.44,False
2,3,0.2037661088382287,0.0,0.0,0.4686158218945422,0.057132179386000015,0.03418764647433368,0.0,0.24242233944945257,0.4942372829863876,2.7033674178289733,0.7677938779128529,0.7350566574340869,0.47021634814254504,0.3389761563691962,1.8101996396345155,2.87664724195338,0.04,0.02,5.0,0.44,False
2,4,0.48868097747401956,0.0,0.0,0.5403371871722834,0.2148313653894286,0.019141318762852744,0.0,0.10810022158703486,0.9862536745977301,1.3578967551082697,0.8320107724532919,0.8289502677256793,0.46411509409310436,0.9104194410037258,3.3764094701458136,2.524783079758178,0.04,0.02,5.0,0.44,False
2,5,0.23877218982260817,0.0,0.0,0.7049777080552986,0.2812452672789469,0.20943326360292466,0.0,0.46661676725311946,0.6869788511848488,2.69485681333847,0.7053916366200124,1.065883669755424,0.3656507142356702,0.8298453004662476,1.7666936366738677,2.2542628737300356,0.04,0.02,5.0,0.44,False
3,1,0.3018042339282554,0.0,0.0,0.5790918492982093,0.06474401197651153,0.008466134212211119,0.0,0.12218238287161631,0.979225322535745,2.1992695226510324,0.6600636009267077,1.3499735804200603,1.8337592615780787,0.8497078128578819,2.421976174399898,2.7458232824006616,0.04,0.02,5.0,0.44,False
3,2,0.32260747030939696,0.0,0.0,0.9312427650996002,0.18261080142627367,0.17900275307711735,0.0,0.48440195455485685,0.4591105368950287,2.8313397846065658,0.596568362545276,1.3517660654423267,0.21552553130180646,1.9761427157174647,1.971210894953358,1.9051505266871571,0.04,0.02,5.0,0.44,False
3,3,0.14129193160817316,0.0,0.0,0.7443000102358058,0.35839420577327397,0.2663247967196292,0.0,0.09486325954982738,0.6066738181462045,2.1891979498845098,1.0237312688692897,0.6761186912189827,0.0416922361874944,0.7528436915144621,2.0896564837234592,1.1509157851906529,0.04,0.02,5.0,0.44,False
3,4,0.047110909703294124,0.0,0.0,0.3725445812804876,0.03429527131880633,0.00956165236314629,0.0,0.0642942793954352,0.8189658503123839,1.4393095007239591,1.0970388805217963,0.524342170985645,0.5251720130901666,1.6167561421649728,3.0437659708467155,1.738710991471243,0.04,0.02,5.0,0.44,False
3,5,0.44266615157798117,0.0,0.0,0.4744143210455114,0.03293129569533626,0.29736342094028284,0.0,0.12892455418230875,0.7059961045837498,1.8403072589241811,1.1371417641781,1.1955556332287363,0.8396796034453535,1.5876535878409734,2.962330465690342,1.278377296906068,0.04,0.02,5.0,0.44,False
4,1,0.2596040263162958,0.0,0.0,0.08544338093722947,0.1519193630743645,0.07497595218812748,0.0,0.2365263711885367,0.07358528458321123,2.653302189071803,1.4994963134540917,1.253336195627151,0.6820778883229153,2.1282629767539527,2.540885170965992,2.6814057147874797,0.04,0.02,5.0,0.44,False
4,2,0.3805810475177541,0.0,0.0,0.2748788695375487,0.49520011105091966,0.06014122324661927,0.0,0.3819078704993759,0.4144183558604704,1.3087240855247129,0.6939578219556075,0.5078668406474821,1.393274335147237,0.8447709462349653,2.5197915587556805,1.4403626616739789,0.04,0.02,5.0,0.44,False
4,3,0.14920679141447118,0.0,0.0,0.5274128829789271,0.056710419270968704,0.14024161009563765,0.0,0.031066213974304258,0.9649104720332786,2.1185238991279567,0.5354865705643304,0.5011245250669838,1.851905094701354,0.4295412180807934,2.610829577847551,3.152733513958911,0.04,0.02,5.0,0.44,False
4,4,0.0682287527328913,0.0,0.0,0.9405379752626221,0.17913225639126557,0.22258944690746993,0.0,0.11199173502477017,0.3392457706442935,2.9577326754817532,1.0285130159427824,0.5221783556139292,0.35390522792703993,1.8933584398898708,3.466401827098515,1.5723826182590348,0.04,0.02,5.0,0.44,False
4,5,0.25207988095001416,0.0,0.0,0.8706863700492053,0.23797173372965463,0.18535416195498702,0.0,0.4465806638597166,0.6649478976851615,2.3011241257475317,0.7715684344704254,1.263067945855091,1.6453617599223291,1.2200293860667824,2.899777593279422,1.3415346310489444,0.04,0.02,5.0,0.44,False
5,1,0.08363172040432887,0.0,0.0,0.5529639311010958,0.14175306410647254,0.17788788939787775,0.0,0.02068189872968934,0.5843459515354953,1.0901711535530922,0.7891846403960926,1.1577654327636675,1.0187554257442064,0.39628424077961855,3.449742455956508,2.0915460589604056,0.04,0.02,5.0,0.44,False
5,2,0.35762939240109987,0.0,0.0,0.542889731771244,0.28793614723959643,0.19570572701760483,0.0,0.32349466401007604,0.7172985609651089,1.089696833265637,0.5628636097596262,0.8097974921675056,1.8648056896901324,1.7494893629020614,1.274365010031903,2.473951592117348,0.04,0.02,5.0,0.44,False
5,3,0.019259429124906302,0.0,0.0,0.9686500503181876,0.029801957357537823,0.2692380136826829,0.0,0.15027815069770745,0.3036131794622128,2.9793309728789943,0.721893248682778,0.967374125513909,0.45880876437418255,2.1837967441699098,2.112507882576714,1.0568266630908363,0.04,0.02,5.0,0.44,False
5,4,0.36512340296396695,0.0,0.0,0.600120674922079,0.08735895366442736,0.1814849016933833,0.0,0.2660022761678679,0.20958810147974127,2.0473120199087336,1.0482345065525993,1.4630513123341515,0.2917081536432828,0.18456130179006935,3.0184616266938997,2.0901521989666736,0.04,0.02,5.0,0.44,False
5,5,0.4278898830653002,0.0,0.0,0.9159483347590825,0.16880394503717316,0.20690138078561474,0.0,0.1615434814203497,0.6638986772417377,1.0865676702361637,1.075199770195989,0.8155130261685235,0.6555643366139843,1.8247702683710476,2.547637299911459,1.6436558244385158,0.04,0.02,5.0,0.44,False
