subcategory,metric,recommendation_category,subcat_coef,subcat_t,subcat_df,subcat_p,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcat_effect_size_type,n_subjects,subcat_test,subcat_p_fdr
101,appropriateness,1,1.25,7.119170868623346,11,1.944434313236514e-05,0.8635460855098567,1.6364539144901433,2.055127608703315,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,9.72217156618257e-05
102,appropriateness,1,1.0416666666666663,3.0893676543057493,11,0.010297680375944772,0.2995429922988694,1.783790341034463,0.8918236234195736,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.01716280062657462
103,appropriateness,1,0.4166666666666665,1.1785113019775788,11,0.2634580354140405,-0.3614990993261398,1.1948324326594728,0.3402069087198856,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.3293225442675506
104,appropriateness,1,0.24305555555555555,0.6611481023063203,11,0.5221241102871645,-0.5660848911724279,1.052196002283539,0.1908570174203821,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.5221241102871645
105,appropriateness,1,-2.951388888888889,-5.563674753542617,11,0.00016925551924004383,-4.118955907780837,-1.7838218699969406,-1.6060945583206772,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.00042313879810010953
201,appropriateness,2,0.18055555555555544,0.6155051143174746,11,0.5507434509797655,-0.46509317928717875,0.8262042903982897,0.17768102171939268,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.8542703407589014
202,appropriateness,2,0.041666666666666664,0.19375928910904103,11,0.8498959702694026,-0.43164078313434007,0.5149741164676734,0.05593348886254769,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.8542703407589014
203,appropriateness,2,0.07638888888888888,0.18803855878047154,11,0.8542703407589014,-0.8177405488715684,0.9705183266493461,0.05428205626496725,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.8542703407589014
204,appropriateness,2,-0.9652777777777773,-3.105101439107706,11,0.01001258728517199,-1.6494944147895643,-0.28106114076599054,-0.8963655758649642,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.05006293642585995
205,appropriateness,2,0.6666666666666669,1.201297556080065,11,0.2548628710775759,-0.5547821181317468,1.8881154514650804,0.34678473368983254,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.6371571776939396
101,disturbance,1,-0.638888888888889,-3.6872475361064887,11,0.003580292559697912,-1.0202532940763898,-0.2575244837013882,-1.0644166787699327,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.01615841372322765
102,disturbance,1,-0.5347222222222222,-2.1309069581397533,11,0.05649054913607404,-1.0870296194936244,0.017585175049180002,-0.6151398529500166,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.07061318642009255
103,disturbance,1,-0.5,-2.493971789727806,11,0.029824186696475134,-0.9412610377447705,-0.0587389622552294,-0.7199476420753408,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.04970697782745856
104,disturbance,1,-0.2916666666666667,-1.1157077104466546,11,0.2883276894264598,-0.867044966030752,0.28371163269741867,-0.32207707348165854,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.2883276894264598
105,disturbance,1,1.965277777777778,3.351241155353945,11,0.006463365489291061,0.6745478589776381,3.2560076965779174,0.9674199915814763,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.01615841372322765
201,disturbance,2,0.006944444444444457,0.022473844683179128,11,0.9824724711170487,-0.6731625591730864,0.6870514480619753,0.006487640138779653,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.9824724711170487
202,disturbance,2,0.0069444444444444935,0.030202347143056228,11,0.9764466942626322,-0.4991294409673676,0.5130183298562566,0.00871866662660102,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.9824724711170487
203,disturbance,2,0.11111111111111112,0.3195123895146545,11,0.7553240612921137,-0.654286146401705,0.8765083686239273,0.09223528204785317,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.9824724711170487
204,disturbance,2,0.5624999999999999,1.7846826094343262,11,0.1018839894373959,-0.13121110919216783,1.2562111091921677,0.515193492487476,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.25470997359348974
205,disturbance,2,-0.6874999999999999,-1.9518479936921902,11,0.07687521108578513,-1.462753658300841,0.08775365830084114,-0.5634499822877085,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.25470997359348974
101,satisfaction,1,1.3888888888888886,7.761505257063325,11,8.700071863302204e-06,0.9950318041865883,1.7827459735911888,2.2405535747411034,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,4.350035931651102e-05
102,satisfaction,1,0.8680555555555554,2.7277826715038787,11,0.01965609890977544,0.16764147350113723,1.5684696376099736,0.7874430298417803,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.03276016484962573
103,satisfaction,1,0.2430555555555556,0.7598419467576432,11,0.46332330442789016,-0.4609877960075617,0.9470989071186728,0.21934747625104725,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.46332330442789016
104,satisfaction,1,0.31249999999999994,0.8725274861504208,11,0.40156533532638905,-0.4757936336602074,1.1007936336602073,0.2518769895021465,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.46332330442789016
105,satisfaction,1,-2.8125,-4.98592654189492,11,0.00041156902457310514,-4.05404872935225,-1.5709512706477502,-1.439313015561366,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.0010289225614327627
201,satisfaction,2,0.3819444444444446,1.5468289968032225,11,0.15017490201973507,-0.16152484397444283,0.9254137328633321,0.4465310688473297,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.35464528277232443
202,satisfaction,2,-0.20833333333333337,-0.7200984638308607,11,0.486484171013047,-0.8451053833359068,0.42843871666924005,-0.2078745209678917,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.6081052137663087
203,satisfaction,2,0.06944444444444438,0.2019480979305047,11,0.8436435825329732,-0.6874143387713552,0.826303227660244,0.05829739435125488,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.8436435825329732
204,satisfaction,2,-0.9027777777777777,-2.5418778054227036,11,0.027388275876236438,-1.6844835259858906,-0.12107202956966467,-0.7337769176039667,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.13694137938118217
205,satisfaction,2,0.6597222222222222,1.3226608363517647,11,0.21278716966339464,-0.43809422548719146,1.7575386699316358,0.38181929495713346,Cohen_dz,12,one-sample t-test on subject-wise difference from category mean excluding current subcategory,0.35464528277232443
