version,compare_version,base_version,metric,subcategory,n,dof,mean_base,mean_compare,mean_diff,stats,p_val,effect_size_dz,p_fdr,sig
personalized_vs_default,personalized,default,appropriateness,101,12,11,6.583333333333333,6.75,0.16666666666666666,0.6158817620514396,0.5505037156037171,0.17778975055468985,0.6881296445046464,ns
personified_vs_default,personified,default,appropriateness,101,12,11,6.583333333333333,6.583333333333333,0.0,0.0,1.0,0.0,1.0,ns
personalized_vs_default,personalized,default,appropriateness,102,12,11,6.25,6.5,0.25,0.8971499589146108,0.38885232814171367,0.2589848851414061,0.6036882612108683,ns
personified_vs_default,personified,default,appropriateness,102,12,11,6.25,6.666666666666667,0.4166666666666667,0.8902287372416998,0.3923973697870644,0.25698690054341794,0.6036882612108683,ns
personalized_vs_default,personalized,default,appropriateness,103,12,11,5.75,6.166666666666667,0.4166666666666667,1.1639071281488333,0.2690857951978964,0.3359910468742266,0.5381715903957928,ns
personified_vs_default,personified,default,appropriateness,103,12,11,5.75,6.0,0.25,0.6382847385042254,0.5363504023406952,0.18425693279752223,0.6881296445046464,ns
personalized_vs_default,personalized,default,appropriateness,104,12,11,5.666666666666667,5.916666666666667,0.25,0.4418894343490791,0.6671307107628139,0.12756249193674615,0.7848596597209576,ns
personified_vs_default,personified,default,appropriateness,104,12,11,5.666666666666667,5.916666666666667,0.25,0.3640468657768224,0.7227238255361571,0.10509127797694398,0.8030264728179524,ns
personalized_vs_default,personalized,default,appropriateness,105,12,11,3.0833333333333335,3.6666666666666665,0.5833333333333334,0.660633973516018,0.5224415705114456,0.19070860122264258,0.6881296445046464,ns
personified_vs_default,personified,default,appropriateness,105,12,11,3.0833333333333335,3.0833333333333335,0.0,0.0,1.0,0.0,1.0,ns
personalized_vs_default,personalized,default,appropriateness,201,12,11,2.8333333333333335,6.166666666666667,3.3333333333333335,5.730254871776856,0.00013215702810545437,1.6541820963727658,0.002643140562109087,**
personified_vs_default,personified,default,appropriateness,201,12,11,2.8333333333333335,5.166666666666667,2.3333333333333335,4.104113789845501,0.0017471497174581078,1.1847556006760775,0.017471497174581078,*
personalized_vs_default,personalized,default,appropriateness,202,12,11,3.6666666666666665,5.5,1.8333333333333333,3.1169421661547205,0.00980331239600697,0.8997836993389616,0.06535541597337981,ns
personified_vs_default,personified,default,appropriateness,202,12,11,3.6666666666666665,4.666666666666667,1.0,1.816590212458495,0.0966008969205373,0.5244044240850757,0.32200298973512437,ns
personalized_vs_default,personalized,default,appropriateness,203,12,11,4.0,5.25,1.25,1.666666666666667,0.12376901934900816,0.4811252243246881,0.35362576956859476,ns
personified_vs_default,personified,default,appropriateness,203,12,11,4.0,4.666666666666667,0.6666666666666666,0.9380831519646861,0.3683425946590331,0.27080128015453203,0.6036882612108683,ns
