subcategory,metric,scene_terms,scene_chi2,scene_df,scene_p,scene_effect_size,mode_terms,mode_chi2,mode_df,mode_p,mode_effect_size,interaction_terms,interaction_chi2,interaction_df,interaction_p,interaction_effect_size,recommendation_category,subcat_coef,subcat_stat,subcat_p,subcat_p_fdr,subcat_ci_low,subcat_ci_high,subcat_effect_size,subcategory_overall_chi2,subcategory_overall_p,subcategory_df,subcategory_overall_effect_size,scene_p_fdr,mode_p_fdr,interaction_p_fdr,scene_sig,mode_sig,interaction_sig,subcat_vs_category_mean_sig,subcategory_overall_sig
101,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",1.1313205618382804,2,0.567984993264413,0.1253506505012528,"C(mode, Sum)[S.0]",0.011684364524553452,1,0.9139209379187748,0.012739028244681693,,,,,,1,1.0138888888888888,7.560915555000644,1.1141036358123606e-07,5.570518179061803e-07,0.7364900803898133,1.2912876973879643,1.5433654248353217,85.95557374823713,9.51081395663229e-18,4,0.48863635009482465,0.7099812415805162,0.9139209379187748,,False,False,False,True,True
102,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",12.356678213996133,2,0.0020738694710621926,0.4142710836516909,"C(mode, Sum)[S.0]",0.19373960465014084,1,0.6598222326872138,0.051873190015296604,,,,,,1,0.5624999999999999,2.1786970349337818,0.03985532043652925,0.06642553406088209,0.0284101806249637,1.096589819375036,0.4447246699752018,85.95557374823713,9.51081395663229e-18,4,0.48863635009482465,0.005184673677655481,0.9139209379187748,,True,False,False,False,True
103,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.02410852319288254,2,0.988018099967966,0.018298650220744325,"C(mode, Sum)[S.0]",4.8061647888406105,1,0.028358090416390123,0.2583646429639655,,,,,,1,0.11111111111111106,0.5462033160133656,0.5901857638026106,0.7377322047532632,-0.30970443296092665,0.5319266551831487,0.11149328500407481,85.95557374823713,9.51081395663229e-18,4,0.48863635009482465,0.988018099967966,0.09452696805463374,,False,False,False,False,True
104,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",0.28120730641895736,2,0.8688336028738055,0.06249525608873549,"C(mode, Sum)[S.0]",11.801882892910598,1,0.0005917084746205994,0.4048642243756712,,,,,,1,-0.06250000000000011,-0.2885783384499888,0.7754888960821313,0.7754888960821313,-0.5105277395234803,0.3855277395234801,-0.058905806668554994,85.95557374823713,9.51081395663229e-18,4,0.48863635009482465,0.9653706698597839,0.005917084746205993,,False,True,False,False,True
105,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",25.320100906472327,2,3.175484136725274e-06,0.5930160774763606,"C(mode, Sum)[S.0]",5.56693769720605,1,0.018302743284637775,0.27806218572085956,,,,,,1,-1.625,-4.9357289849437,5.470526211640951e-05,0.00013676315529102375,-2.306068313755741,-0.9439316862442589,-1.0075014601481016,85.95557374823713,9.51081395663229e-18,4,0.48863635009482465,1.058494712241758e-05,0.09151371642318887,,True,False,False,True,True
201,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",25.774613746159826,2,2.5299604871352303e-06,0.5901742040824234,"C(mode, Sum)[S.0]",0.028606063033425007,1,0.8656918161880367,0.019661343274827593,,,,,,2,0.2604166666666667,0.984064528818471,0.33532314916916706,0.4191539364614588,-0.2870199125450347,0.807853245878368,0.20087133079813382,17.85759330636065,0.0013157382481697696,4,0.22210440844254994,1.058494712241758e-05,0.9139209379187748,,True,False,False,False,True
202,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",9.112624105699433,2,0.010500713698428293,0.3557586593327981,"C(mode, Sum)[S.0]",0.04626333960047956,1,0.8296978181489139,0.025348498640747816,,,,,,2,0.16059027777777782,0.7513820282378927,0.46004262245167704,0.46004262245167704,-0.2815367465581423,0.6027173021136979,0.15337521425669487,17.85759330636065,0.0013157382481697696,4,0.22210440844254994,0.021001427396856585,0.9139209379187748,,True,False,False,False,True
203,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",2.2023026807045825,2,0.33248805632705236,0.17489293076624937,"C(mode, Sum)[S.0]",1.7923114857518643,1,0.18064478491729888,0.15777583807379064,,,,,,2,-0.290798611111111,-1.4303915699745189,0.1660506622547686,0.2767511037579477,-0.7113567104468077,0.12975948822458572,-0.29197745656800916,17.85759330636065,0.0013157382481697696,4,0.22210440844254994,0.4749829376100748,0.4516119622932472,,False,False,False,False,True
204,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",25.48243305753001,2,2.9279251410743547e-06,0.5949140117315976,"C(mode, Sum)[S.0]",0.7425427316712514,1,0.3888475660360269,0.10155340218542187,,,,,,2,-0.7421875,-3.1084976369433353,0.0049469320800683255,0.024734660400341626,-1.236101924121169,-0.24827307587883107,-0.6345194230965373,17.85759330636065,0.0013157382481697696,4,0.22210440844254994,1.058494712241758e-05,0.7776951320720538,,True,False,False,True,True
205,appropriateness,"C(scene_id, Sum)[S.scene_1]; C(scene_id, Sum)[S.scene_2]",8.17800131771267,2,0.016755970124765852,0.3370212925541919,"C(mode, Sum)[S.0]",0.503639418932287,1,0.47790534319645994,0.083636068353403,,,,,,2,0.6119791666666666,1.9202768778745425,0.06730763602175525,0.16826909005438812,-0.04728792920345937,1.2712462625367926,0.39197487630478317,17.85759330636065,0.0013157382481697696,4,0.22210440844254994,0.027926616874609754,0.7965089053274332,,True,False,False,False,True
